=== census-derived p1=0 fallthrough streams (no VRAM dumps) ===
ROMDEC F=532 stage=$00 slot=0 bank=$50 p1=$01 dst=$2AA0.w src=$BC3E words=0
ROMDEC F=535 stage=$00 slot=0 bank=$48 p1=$01 dst=$2500.w src=$8100 words=0
ROMDEC F=536 stage=$00 slot=0 bank=$50 p1=$01 dst=$2620.w src=$B3AA words=0
ROMDEC F=563 stage=$00 slot=0 bank=$50 p1=$01 dst=$2AA0.w src=$BD26 words=0
ROMDEC F=571 stage=$00 slot=0 bank=$50 p1=$01 dst=$2AA0.w src=$BE17 words=0
ROMDEC F=579 stage=$00 slot=0 bank=$50 p1=$01 dst=$2AA0.w src=$BF03 words=0
ROMDEC F=5443 stage=$0A slot=0 bank=$48 p1=$02 dst=$40B0.w src=$A56D words=0
ROMDEC F=5443 stage=$0A slot=0 bank=$48 p1=$02 dst=$40E0.w src=$A58A words=0
ROMDEC F=5443 stage=$0A slot=0 bank=$48 p1=$03 dst=$40F0.w src=$A58A words=0
ROMDEC F=5443 stage=$0A slot=0 bank=$48 p1=$03 dst=$4100.w src=$A597 words=0
ROMDEC F=5444 stage=$0A slot=0 bank=$48 p1=$01 dst=$4120.w src=$A58A words=0
ROMDEC F=5444 stage=$0A slot=0 bank=$48 p1=$01 dst=$4130.w src=$A5AC words=0
ROMDEC F=7220 stage=$0A slot=0 bank=$34 p1=$01 dst=$2F50.w src=$54C4 words=0
ROMDEC F=11442 stage=$0A slot=0 bank=$48 p1=$00 dst=$7600.w src=$B22C words=0
ROMDEC F=11536 stage=$0A slot=0 bank=$48 p1=$00 dst=$7600.w src=$AF28 words=0
ROMDEC F=11631 stage=$0A slot=0 bank=$48 p1=$00 dst=$7600.w src=$AC80 words=0
ROMDEC F=11726 stage=$0A slot=0 bank=$48 p1=$00 dst=$7600.w src=$A893 words=0
ROMDEC F=12051 stage=$0A slot=0 bank=$48 p1=$00 dst=$7600.w src=$BD8D words=0
ROMDEC F=19326 stage=$0A slot=0 bank=$58 p1=$00 dst=$7600.w src=$A7B9 words=0
ROMDEC F=19329 stage=$0A slot=0 bank=$58 p1=$00 dst=$7600.w src=$AAF7 words=0
ROMDEC F=19333 stage=$0A slot=0 bank=$58 p1=$00 dst=$75C0.w src=$AF24 words=0
ROMDEC F=19338 stage=$0A slot=0 bank=$58 p1=$00 dst=$75C0.w src=$B426 words=0
ROMDEC F=19343 stage=$0A slot=0 bank=$58 p1=$00 dst=$75C0.w src=$B9B7 words=0
ROMDEC F=22031 stage=$0B slot=0 bank=$6C p1=$02 dst=$2660.w src=$4A37 words=0
ROMDEC F=22032 stage=$0B slot=0 bank=$64 p1=$02 dst=$28C0.w src=$A173 words=0
ROMDEC F=22032 stage=$0B slot=0 bank=$64 p1=$02 dst=$2960.w src=$AAF1 words=0
ROMDEC F=22032 stage=$0B slot=0 bank=$64 p1=$02 dst=$2980.w src=$AB1B words=0
ROMDEC F=22032 stage=$0B slot=0 bank=$64 p1=$03 dst=$2990.w src=$A261 words=0
ROMDEC F=22032 stage=$0B slot=0 bank=$64 p1=$03 dst=$29C0.w src=$A173 words=0
ROMDEC F=22033 stage=$0B slot=0 bank=$64 p1=$03 dst=$2A60.w src=$AAF1 words=0
ROMDEC F=22033 stage=$0B slot=0 bank=$64 p1=$03 dst=$2A80.w src=$AB3E words=0
ROMDEC F=22033 stage=$0B slot=0 bank=$64 p1=$01 dst=$2AA0.w src=$A2B1 words=0
ROMDEC F=22036 stage=$0B slot=0 bank=$64 p1=$01 dst=$2CC0.w src=$A173 words=0
ROMDEC F=22037 stage=$0B slot=0 bank=$64 p1=$01 dst=$2D60.w src=$AB1B words=0
ROMDEC F=22037 stage=$0B slot=0 bank=$64 p1=$01 dst=$2D70.w src=$AB3E words=0
ROMDEC F=22039 stage=$0B slot=0 bank=$64 p1=$02 dst=$3CA0.w src=$AD66 words=0
ROMDEC F=22041 stage=$0B slot=0 bank=$64 p1=$02 dst=$4120.w src=$B62B words=0
ROMDEC F=22043 stage=$0B slot=0 bank=$64 p1=$03 dst=$4570.w src=$BE96 words=0
ROMDEC F=22044 stage=$0B slot=0 bank=$64 p1=$03 dst=$45D0.w src=$B62B words=0
ROMDEC F=22047 stage=$0B slot=0 bank=$68 p1=$01 dst=$4A20.w src=$4000 words=0
ROMDEC F=22048 stage=$0B slot=0 bank=$64 p1=$01 dst=$4B20.w src=$B62B words=0
ROMDEC F=28341 stage=$00 slot=0 bank=$40 p1=$02 dst=$2C60.w src=$8D2E words=0
ROMDEC F=28341 stage=$00 slot=0 bank=$40 p1=$02 dst=$2CC0.w src=$8D89 words=0
ROMDEC F=28341 stage=$00 slot=0 bank=$40 p1=$01 dst=$2CE0.w src=$8D89 words=0
ROMDEC F=28341 stage=$00 slot=0 bank=$40 p1=$01 dst=$2D00.w src=$8DCB words=0
ROMDEC F=28342 stage=$00 slot=0 bank=$40 p1=$03 dst=$2E10.w src=$8D89 words=0
ROMDEC F=28343 stage=$00 slot=0 bank=$40 p1=$02 dst=$33D0.w src=$919A words=0
ROMDEC F=28345 stage=$00 slot=0 bank=$40 p1=$02 dst=$3640.w src=$95D1 words=0
ROMDEC F=28345 stage=$00 slot=0 bank=$40 p1=$01 dst=$3650.w src=$95D1 words=0
ROMDEC F=28346 stage=$00 slot=0 bank=$40 p1=$01 dst=$3660.w src=$95F4 words=0
ROMDEC F=28346 stage=$00 slot=0 bank=$40 p1=$03 dst=$3670.w src=$95D1 words=0
ROMDEC F=28346 stage=$00 slot=0 bank=$40 p1=$02 dst=$3680.w src=$901D words=0
ROMDEC F=28445 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$7C91 words=0
ROMDEC F=28612 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$7BF0 words=0
ROMDEC F=28673 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$7DD4 words=0
ROMDEC F=28918 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$7E84 words=0
ROMDEC F=37956 stage=$01 slot=0 bank=$48 p1=$02 dst=$2D20.w src=$588D words=0
ROMDEC F=37956 stage=$01 slot=0 bank=$48 p1=$02 dst=$2DA0.w src=$592A words=0
ROMDEC F=37957 stage=$01 slot=0 bank=$48 p1=$02 dst=$3000.w src=$594F words=0
ROMDEC F=50611 stage=$01 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$7FE3 words=0
ROMDEC F=50618 stage=$01 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$8084 words=0
ROMDEC F=50624 stage=$01 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$8139 words=0
ROMDEC F=51491 stage=$02 slot=0 bank=$50 p1=$01 dst=$3680.w src=$97D1 words=0
ROMDEC F=51492 stage=$02 slot=0 bank=$50 p1=$01 dst=$3910.w src=$9931 words=0
ROMDEC F=51493 stage=$02 slot=0 bank=$50 p1=$01 dst=$3A80.w src=$9B92 words=0
ROMDEC F=51493 stage=$02 slot=0 bank=$50 p1=$02 dst=$3AE0.w src=$9B92 words=0
ROMDEC F=51493 stage=$02 slot=0 bank=$50 p1=$03 dst=$3B40.w src=$9B92 words=0
ROMDEC F=51496 stage=$02 slot=0 bank=$50 p1=$01 dst=$4840.w src=$AD2B words=0
ROMDEC F=51499 stage=$02 slot=0 bank=$50 p1=$01 dst=$4AA0.w src=$B150 words=0
ROMDEC F=51499 stage=$02 slot=0 bank=$50 p1=$02 dst=$4AE0.w src=$B150 words=0
ROMDEC F=51499 stage=$02 slot=0 bank=$50 p1=$03 dst=$4B20.w src=$B150 words=0
ROMDEC F=63337 stage=$02 slot=0 bank=$40 p1=$01 dst=$3680.w src=$A756 words=0
ROMDEC F=63346 stage=$02 slot=0 bank=$40 p1=$01 dst=$3680.w src=$AA47 words=0
ROMDEC F=63472 stage=$03 slot=0 bank=$5C p1=$02 dst=$2610.w src=$5081 words=0
ROMDEC F=63472 stage=$03 slot=0 bank=$54 p1=$01 dst=$2850.w src=$8326 words=0
ROMDEC F=63479 stage=$03 slot=0 bank=$54 p1=$01 dst=$3DA0.w src=$A546 words=0
ROMDEC F=63480 stage=$03 slot=0 bank=$54 p1=$02 dst=$3EB0.w src=$9ACD words=0
ROMDEC F=63482 stage=$03 slot=0 bank=$54 p1=$02 dst=$43A0.w src=$A394 words=0
ROMDEC F=63484 stage=$03 slot=0 bank=$54 p1=$02 dst=$44C0.w src=$A546 words=0
ROMDEC F=63485 stage=$03 slot=0 bank=$54 p1=$03 dst=$45D0.w src=$A546 words=0
ROMDEC F=69645 stage=$03 slot=0 bank=$54 p1=$01 dst=$4B30.w src=$A866 words=0
ROMDEC F=69646 stage=$03 slot=0 bank=$54 p1=$01 dst=$4EB0.w src=$ABE9 words=0
ROMDEC F=69647 stage=$03 slot=0 bank=$54 p1=$02 dst=$5000.w src=$A6A4 words=0
ROMDEC F=69648 stage=$03 slot=0 bank=$54 p1=$02 dst=$5120.w src=$A866 words=0
ROMDEC F=69648 stage=$03 slot=0 bank=$54 p1=$03 dst=$5230.w src=$A866 words=0
ROMDEC F=69649 stage=$03 slot=0 bank=$54 p1=$02 dst=$5400.w src=$A9F3 words=0
ROMDEC F=69650 stage=$03 slot=0 bank=$54 p1=$02 dst=$5520.w src=$ABE9 words=0
ROMDEC F=69650 stage=$03 slot=0 bank=$54 p1=$03 dst=$5630.w src=$ABE9 words=0
ROMDEC F=71753 stage=$03 slot=0 bank=$64 p1=$00 dst=$7600.w src=$5093 words=0
ROMDEC F=71757 stage=$03 slot=0 bank=$64 p1=$00 dst=$7600.w src=$5617 words=0
ROMDEC F=78203 stage=$04 slot=0 bank=$48 p1=$00 dst=$7600.w src=$B8AD words=0
ROMDEC F=78298 stage=$04 slot=0 bank=$48 p1=$00 dst=$7600.w src=$B6F5 words=0
ROMDEC F=80516 stage=$05 slot=0 bank=$60 p1=$02 dst=$1690.w src=$4047 words=0
ROMDEC F=80517 stage=$05 slot=0 bank=$60 p1=$02 dst=$1A80.w src=$41CA words=0
ROMDEC F=80521 stage=$05 slot=0 bank=$60 p1=$02 dst=$2680.w src=$4688 words=0
ROMDEC F=80523 stage=$05 slot=0 bank=$60 p1=$02 dst=$2C80.w src=$4B39 words=0
ROMDEC F=88918 stage=$05 slot=0 bank=$78 p1=$01 dst=$2970.w src=$6267 words=0
ROMDEC F=88933 stage=$05 slot=0 bank=$78 p1=$01 dst=$6440.w src=$BFC9 words=0
ROMDEC F=92277 stage=$06 slot=0 bank=$6C p1=$02 dst=$3B00.w src=$8A54 words=0
ROMDEC F=92277 stage=$06 slot=0 bank=$6C p1=$02 dst=$3B10.w src=$8A72 words=0
ROMDEC F=92278 stage=$06 slot=0 bank=$6C p1=$03 dst=$3C10.w src=$8A54 words=0
ROMDEC F=92278 stage=$06 slot=0 bank=$6C p1=$03 dst=$3C20.w src=$8C3D words=0
ROMDEC F=92280 stage=$06 slot=0 bank=$6C p1=$01 dst=$3EC0.w src=$8A54 words=0
ROMDEC F=92280 stage=$06 slot=0 bank=$6C p1=$01 dst=$3ED0.w src=$90B5 words=0
