# bank, entry_logical, entry_abs, CTA, block_logical, block_abs, count, colours, stage
bank=$38 entry=$4643 abs=$070643 CTA=$0010 block=$629D block_abs=$07229D count=$01 colours=16 stage=$00
bank=$38 entry=$4647 abs=$070647 CTA=$0020 block=$62B0 block_abs=$0722B0 count=$01 colours=16 stage=$00
bank=$38 entry=$464E abs=$07064E CTA=$0000 block=$628A block_abs=$07228A count=$01 colours=16 stage=$00
bank=$38 entry=$4660 abs=$070660 CTA=$01D0 block=$9168 block_abs=$075168 count=$05 colours=48 stage=$00
bank=$38 entry=$4667 abs=$070667 CTA=$0000 block=$908F block_abs=$07508F count=$17 colours=192 stage=$00
bank=$38 entry=$466B abs=$07066B CTA=$0000 block=$8FB6 block_abs=$074FB6 count=$17 colours=192 stage=$00
bank=$38 entry=$466F abs=$07066F CTA=$0000 block=$8EDD block_abs=$074EDD count=$17 colours=192 stage=$00
bank=$38 entry=$4673 abs=$070673 CTA=$0000 block=$8E04 block_abs=$074E04 count=$17 colours=192 stage=$00
bank=$38 entry=$4677 abs=$070677 CTA=$0000 block=$8D2B block_abs=$074D2B count=$17 colours=192 stage=$00
bank=$38 entry=$467B abs=$07067B CTA=$0000 block=$8C52 block_abs=$074C52 count=$17 colours=192 stage=$00
bank=$38 entry=$467F abs=$07067F CTA=$0000 block=$8B79 block_abs=$074B79 count=$17 colours=192 stage=$00
bank=$38 entry=$46A1 abs=$0706A1 CTA=$0100 block=$919F block_abs=$07519F count=$07 colours=64 stage=$00
bank=$38 entry=$46C1 abs=$0706C1 CTA=$01C0 block=$91E8 block_abs=$0751E8 count=$01 colours=16 stage=$00
bank=$38 entry=$46CF abs=$0706CF CTA=$01A0 block=$92D7 block_abs=$0752D7 count=$03 colours=32 stage=$00
bank=$38 entry=$46A8 abs=$0706A8 CTA=$0100 block=$91FB block_abs=$0751FB count=$05 colours=48 stage=$00
bank=$38 entry=$46C8 abs=$0706C8 CTA=$0140 block=$9232 block_abs=$075232 count=$07 colours=64 stage=$00
bank=$38 entry=$46DD abs=$0706DD CTA=$01B0 block=$927B block_abs=$07527B count=$03 colours=32 stage=$00
bank=$38 entry=$46AF abs=$0706AF CTA=$0100 block=$92A0 block_abs=$0752A0 count=$05 colours=48 stage=$00
bank=$38 entry=$46D6 abs=$0706D6 CTA=$0140 block=$9345 block_abs=$075345 count=$03 colours=32 stage=$00
bank=$38 entry=$46B6 abs=$0706B6 CTA=$0100 block=$92FC block_abs=$0752FC count=$07 colours=64 stage=$00
bank=$38 entry=$46BA abs=$0706BA CTA=$0160 block=$936A block_abs=$07536A count=$01 colours=16 stage=$00
bank=$38 entry=$4630 abs=$070630 CTA=$0030 block=$62C3 block_abs=$0722C3 count=$01 colours=16 stage=$00
bank=$38 entry=$4634 abs=$070634 CTA=$0020 block=$62D6 block_abs=$0722D6 count=$01 colours=16 stage=$00
bank=$38 entry=$4638 abs=$070638 CTA=$0010 block=$62D6 block_abs=$0722D6 count=$01 colours=16 stage=$00
bank=$38 entry=$463C abs=$07063C CTA=$0000 block=$62D6 block_abs=$0722D6 count=$01 colours=16 stage=$00
bank=$38 entry=$4643 abs=$070643 CTA=$0010 block=$629D block_abs=$07229D count=$01 colours=16 stage=$00
bank=$38 entry=$4647 abs=$070647 CTA=$0020 block=$62B0 block_abs=$0722B0 count=$01 colours=16 stage=$00
bank=$38 entry=$464E abs=$07064E CTA=$0000 block=$628A block_abs=$07228A count=$01 colours=16 stage=$00
bank=$38 entry=$4660 abs=$070660 CTA=$01D0 block=$9168 block_abs=$075168 count=$05 colours=48 stage=$00
bank=$38 entry=$4667 abs=$070667 CTA=$0000 block=$908F block_abs=$07508F count=$17 colours=192 stage=$00
bank=$38 entry=$466B abs=$07066B CTA=$0000 block=$8FB6 block_abs=$074FB6 count=$17 colours=192 stage=$00
bank=$38 entry=$466F abs=$07066F CTA=$0000 block=$8EDD block_abs=$074EDD count=$17 colours=192 stage=$00
bank=$38 entry=$4673 abs=$070673 CTA=$0000 block=$8E04 block_abs=$074E04 count=$17 colours=192 stage=$00
bank=$38 entry=$4677 abs=$070677 CTA=$0000 block=$8D2B block_abs=$074D2B count=$17 colours=192 stage=$00
bank=$38 entry=$467B abs=$07067B CTA=$0000 block=$8C52 block_abs=$074C52 count=$17 colours=192 stage=$00
bank=$38 entry=$467F abs=$07067F CTA=$0000 block=$8B79 block_abs=$074B79 count=$17 colours=192 stage=$00
bank=$38 entry=$46A1 abs=$0706A1 CTA=$0100 block=$919F block_abs=$07519F count=$07 colours=64 stage=$00
bank=$38 entry=$46C1 abs=$0706C1 CTA=$01C0 block=$91E8 block_abs=$0751E8 count=$01 colours=16 stage=$00
bank=$38 entry=$46CF abs=$0706CF CTA=$01A0 block=$92D7 block_abs=$0752D7 count=$03 colours=32 stage=$00
bank=$38 entry=$46A8 abs=$0706A8 CTA=$0100 block=$91FB block_abs=$0751FB count=$05 colours=48 stage=$00
bank=$38 entry=$46C8 abs=$0706C8 CTA=$0140 block=$9232 block_abs=$075232 count=$07 colours=64 stage=$00
bank=$38 entry=$46DD abs=$0706DD CTA=$01B0 block=$927B block_abs=$07527B count=$03 colours=32 stage=$00
bank=$38 entry=$46AF abs=$0706AF CTA=$0100 block=$92A0 block_abs=$0752A0 count=$05 colours=48 stage=$00
bank=$38 entry=$46D6 abs=$0706D6 CTA=$0140 block=$9345 block_abs=$075345 count=$03 colours=32 stage=$00
bank=$38 entry=$46B6 abs=$0706B6 CTA=$0100 block=$92FC block_abs=$0752FC count=$07 colours=64 stage=$00
bank=$38 entry=$46BA abs=$0706BA CTA=$0160 block=$936A block_abs=$07536A count=$01 colours=16 stage=$00
bank=$38 entry=$4655 abs=$070655 CTA=$0000 block=$8B1D block_abs=$074B1D count=$03 colours=32 stage=$00
bank=$38 entry=$4659 abs=$070659 CTA=$0100 block=$8B42 block_abs=$074B42 count=$05 colours=48 stage=$00
