# bank, entry_logical, entry_abs, CTA, block_logical, block_abs, count, colours, stage
bank=$38 entry=$48A4 abs=$0708A4 CTA=$00F0 block=$4EFA block_abs=$070EFA count=$01 colours=16 stage=$00
bank=$38 entry=$48A8 abs=$0708A8 CTA=$0130 block=$4F0D block_abs=$070F0D count=$09 colours=80 stage=$00
bank=$38 entry=$48AC abs=$0708AC CTA=$0180 block=$4F68 block_abs=$070F68 count=$03 colours=32 stage=$00
bank=$38 entry=$48C1 abs=$0708C1 CTA=$0000 block=$5783 block_abs=$071783 count=$17 colours=192 stage=$00
bank=$38 entry=$48C5 abs=$0708C5 CTA=$0180 block=$4F68 block_abs=$070F68 count=$03 colours=32 stage=$00
bank=$38 entry=$48C9 abs=$0708C9 CTA=$01A0 block=$5660 block_abs=$071660 count=$05 colours=48 stage=$00
bank=$38 entry=$48CD abs=$0708CD CTA=$01F0 block=$5697 block_abs=$071697 count=$01 colours=16 stage=$00
bank=$38 entry=$47DC abs=$0707DC CTA=$0100 block=$5411 block_abs=$071411 count=$03 colours=32 stage=$00
bank=$38 entry=$47E0 abs=$0707E0 CTA=$0120 block=$5436 block_abs=$071436 count=$01 colours=16 stage=$00
bank=$38 entry=$47E4 abs=$0707E4 CTA=$00E0 block=$4EE7 block_abs=$070EE7 count=$01 colours=16 stage=$00
bank=$38 entry=$47E8 abs=$0707E8 CTA=$00D0 block=$4ED4 block_abs=$070ED4 count=$01 colours=16 stage=$00
bank=$38 entry=$47FA abs=$0707FA CTA=$0100 block=$5411 block_abs=$071411 count=$03 colours=32 stage=$00
bank=$38 entry=$47FE abs=$0707FE CTA=$0100 block=$5449 block_abs=$071449 count=$01 colours=16 stage=$00
bank=$38 entry=$48B3 abs=$0708B3 CTA=$00D0 block=$4ED4 block_abs=$070ED4 count=$01 colours=16 stage=$00
bank=$38 entry=$47EF abs=$0707EF CTA=$0100 block=$545C block_abs=$07145C count=$01 colours=16 stage=$00
bank=$38 entry=$47F3 abs=$0707F3 CTA=$0100 block=$5411 block_abs=$071411 count=$03 colours=32 stage=$00
bank=$38 entry=$48DB abs=$0708DB CTA=$0020 block=$5BE5 block_abs=$071BE5 count=$13 colours=160 stage=$00
bank=$38 entry=$48DF abs=$0708DF CTA=$0020 block=$5B30 block_abs=$071B30 count=$13 colours=160 stage=$00
bank=$38 entry=$48E3 abs=$0708E3 CTA=$0020 block=$5A7B block_abs=$071A7B count=$13 colours=160 stage=$00
bank=$38 entry=$48E7 abs=$0708E7 CTA=$0020 block=$59C6 block_abs=$0719C6 count=$13 colours=160 stage=$00
bank=$38 entry=$48EB abs=$0708EB CTA=$0020 block=$5911 block_abs=$071911 count=$13 colours=160 stage=$00
bank=$38 entry=$48EF abs=$0708EF CTA=$0020 block=$585C block_abs=$07185C count=$13 colours=160 stage=$00
bank=$38 entry=$48F3 abs=$0708F3 CTA=$0000 block=$56AA block_abs=$0716AA count=$17 colours=192 stage=$00
bank=$38 entry=$48D4 abs=$0708D4 CTA=$0000 block=$56AA block_abs=$0716AA count=$17 colours=192 stage=$00
bank=$38 entry=$4919 abs=$070919 CTA=$01B0 block=$5598 block_abs=$071598 count=$09 colours=80 stage=$00
bank=$38 entry=$4920 abs=$070920 CTA=$01F0 block=$5697 block_abs=$071697 count=$01 colours=16 stage=$00
bank=$38 entry=$4927 abs=$070927 CTA=$01A0 block=$55F3 block_abs=$0715F3 count=$0B colours=96 stage=$00
bank=$38 entry=$48FA abs=$0708FA CTA=$0020 block=$5C9A block_abs=$071C9A count=$13 colours=160 stage=$00
bank=$38 entry=$48FE abs=$0708FE CTA=$0020 block=$5D4F block_abs=$071D4F count=$13 colours=160 stage=$00
bank=$38 entry=$4902 abs=$070902 CTA=$0020 block=$5E04 block_abs=$071E04 count=$13 colours=160 stage=$00
bank=$38 entry=$4906 abs=$070906 CTA=$0020 block=$5EB9 block_abs=$071EB9 count=$13 colours=160 stage=$00
bank=$38 entry=$490A abs=$07090A CTA=$0020 block=$5F6E block_abs=$071F6E count=$13 colours=160 stage=$00
bank=$38 entry=$490E abs=$07090E CTA=$0020 block=$6023 block_abs=$072023 count=$13 colours=160 stage=$00
bank=$38 entry=$4912 abs=$070912 CTA=$0000 block=$60D8 block_abs=$0720D8 count=$17 colours=192 stage=$00
